Date;Filière;Valeur (TWh);Nature
2005-08;"Nucléaire";33,132;Données Consolidées
2005-09;"Nucléaire";33,41;Données Consolidées
2005-10;"Nucléaire";35,715;Données Consolidées
2005-11;"Nucléaire";38,395;Données Consolidées
2005-12;"Nucléaire";42,053;Données Consolidées
2006-01;"Nucléaire";42,768;Données Consolidées
2006-02;"Nucléaire";35,118;Données Consolidées
2006-03;"Nucléaire";35,324;Données Consolidées
2006-04;"Nucléaire";35,88;Données Consolidées
2006-05;"Nucléaire";33,949;Données Consolidées
2006-06;"Nucléaire";32,834;Données Consolidées
2006-07;"Nucléaire";32,9;Données Consolidées
2006-08;"Nucléaire";32,698;Données Consolidées
2006-09;"Nucléaire";33,831;Données Consolidées
2006-10;"Nucléaire";35,706;Données Consolidées
2006-11;"Nucléaire";37,249;Données Consolidées
2006-12;"Nucléaire";40,408;Données Consolidées
2007-01;"Nucléaire";40,872;Données Consolidées
2007-02;"Nucléaire";36,169;Données Consolidées
2007-03;"Nucléaire";36,738;Données Consolidées
2007-04;"Nucléaire";31,721;Données Consolidées
2007-05;"Nucléaire";31,803;Données Consolidées
2007-06;"Nucléaire";30,865;Données Consolidées
2007-07;"Nucléaire";31,819;Données Consolidées
2007-08;"Nucléaire";32,611;Données Consolidées
2007-09;"Nucléaire";33,301;Données Consolidées
2007-10;"Nucléaire";36,896;Données Consolidées
2007-11;"Nucléaire";35,806;Données Consolidées
2007-12;"Nucléaire";40,008;Données Consolidées
2008-01;"Nucléaire";40,922;Données Consolidées
2008-02;"Nucléaire";38,9;Données Consolidées
2008-03;"Nucléaire";37,203;Données Consolidées
2008-04;"Nucléaire";34,294;Données Consolidées
2008-05;"Nucléaire";31,972;Données Consolidées
2008-06;"Nucléaire";28,517;Données Consolidées
2008-07;"Nucléaire";31,835;Données Consolidées
2008-08;"Nucléaire";32,025;Données Consolidées
2008-09;"Nucléaire";31,239;Données Consolidées
2008-10;"Nucléaire";33,949;Données Consolidées
2008-11;"Nucléaire";36,113;Données Consolidées
2008-12;"Nucléaire";41,309;Données Consolidées
2009-01;"Nucléaire";43,093;Données Consolidées
2009-02;"Nucléaire";37,051;Données Consolidées
2009-03;"Nucléaire";35,932;Données Consolidées
2009-04;"Nucléaire";30,862;Données Consolidées
2009-05;"Nucléaire";29,883;Données Consolidées
2009-06;"Nucléaire";27,129;Données Consolidées
2009-07;"Nucléaire";28,9;Données Consolidées
2009-08;"Nucléaire";28,228;Données Consolidées
2009-09;"Nucléaire";28,68;Données Consolidées
2009-10;"Nucléaire";30,932;Données Consolidées
2009-11;"Nucléaire";31,461;Données Consolidées
2009-12;"Nucléaire";37,847;Données Consolidées
2010-01;"Nucléaire";40,313;Données Consolidées
2010-02;"Nucléaire";36,316;Données Consolidées
2010-03;"Nucléaire";35,984;Données Consolidées
2010-04;"Nucléaire";31,294;Données Consolidées
2010-05;"Nucléaire";29,372;Données Consolidées
2010-06;"Nucléaire";29,575;Données Consolidées
2010-07;"Nucléaire";31,744;Données Consolidées
2010-08;"Nucléaire";32,391;Données Consolidées
2010-09;"Nucléaire";31,657;Données Consolidées
2010-10;"Nucléaire";31,885;Données Consolidées
2010-11;"Nucléaire";35,455;Données Consolidées
2010-12;"Nucléaire";41,889;Données Consolidées
2011-01;"Nucléaire";43,853;Données Consolidées
2011-02;"Nucléaire";38,328;Données Consolidées
2011-03;"Nucléaire";37,688;Données Consolidées
2011-04;"Nucléaire";32,85;Données Consolidées
2011-05;"Nucléaire";33,07;Données Consolidées
2011-06;"Nucléaire";32,589;Données Consolidées
2011-07;"Nucléaire";33,487;Données Consolidées
2011-08;"Nucléaire";31,383;Données Consolidées
2011-09;"Nucléaire";31,477;Données Consolidées
2011-10;"Nucléaire";32,824;Données Consolidées
2011-11;"Nucléaire";33,705;Données Consolidées
2011-12;"Nucléaire";39,864;Données Consolidées
2012-01;"Nucléaire";42,811;Données Consolidées
2012-02;"Nucléaire";38,661;Données Consolidées
2012-03;"Nucléaire";37,549;Données Consolidées
2012-04;"Nucléaire";33,1;Données Consolidées
2012-05;"Nucléaire";29,058;Données Consolidées
2012-06;"Nucléaire";26,562;Données Consolidées
2012-07;"Nucléaire";28,818;Données Consolidées
2012-08;"Nucléaire";28,314;Données Consolidées
2012-09;"Nucléaire";30,13;Données Consolidées
2012-10;"Nucléaire";32,848;Données Consolidées
2012-11;"Nucléaire";37,119;Données Consolidées
2012-12;"Nucléaire";39,912;Données Consolidées
2013-01;"Nucléaire";42,406;Données Consolidées
2013-02;"Nucléaire";36,754;Données Consolidées
2013-03;"Nucléaire";36,786;Données Consolidées
2013-04;"Nucléaire";31,498;Données Consolidées
2013-05;"Nucléaire";31,172;Données Consolidées
2013-06;"Nucléaire";28,62;Données Consolidées
2013-07;"Nucléaire";30,695;Données Consolidées
2013-08;"Nucléaire";29,908;Données Consolidées
2013-09;"Nucléaire";29,759;Données Consolidées
2013-10;"Nucléaire";31,105;Données Consolidées
2013-11;"Nucléaire";34,631;Données Consolidées
2013-12;"Nucléaire";40,423;Données Consolidées
2014-01;"Nucléaire";42,697272529;Données Consolidées
2014-02;"Nucléaire";36,396235447;Données Consolidées
2014-03;"Nucléaire";35,796054646;Données Consolidées
2014-04;"Nucléaire";31,206547209;Données Consolidées
2014-05;"Nucléaire";31,710544312;Données Consolidées
2014-06;"Nucléaire";30,991109222;Données Consolidées
2014-07;"Nucléaire";33,390878366;Données Consolidées
2014-08;"Nucléaire";30,98214339;Données Consolidées
2014-09;"Nucléaire";31,938587067;Données Consolidées
2014-10;"Nucléaire";32,797760455;Données Consolidées
2014-11;"Nucléaire";36,286603252;Données Consolidées
2014-12;"Nucléaire";41,63302429;Données Consolidées
2015-01;"Nucléaire";43,791488657;Données Consolidées
2015-02;"Nucléaire";37,482320665;Données Consolidées
2015-03;"Nucléaire";36,914547292;Données Consolidées
2015-04;"Nucléaire";31,186698518;Données Consolidées
2015-05;"Nucléaire";30,328966017;Données Consolidées
2015-06;"Nucléaire";30,717391599;Données Consolidées
2015-07;"Nucléaire";33,268760518;Données Consolidées
2015-08;"Nucléaire";31,992992083;Données Consolidées
2015-09;"Nucléaire";30,632457517;Données Consolidées
2015-10;"Nucléaire";34,485949151;Données Consolidées
2015-11;"Nucléaire";35,678647455;Données Consolidées
2015-12;"Nucléaire";40,291619544;Données Consolidées
2016-01;"Nucléaire";41,588497132;Données Consolidées
2016-02;"Nucléaire";37,323009399;Données Consolidées
2016-03;"Nucléaire";37,177149961;Données Consolidées
2016-04;"Nucléaire";31,057041779;Données Consolidées
2016-05;"Nucléaire";29,4393355;Données Consolidées
2016-06;"Nucléaire";28,639486961;Données Consolidées
2016-07;"Nucléaire";28,342361051;Données Consolidées
2016-08;"Nucléaire";27,113130645;Données Consolidées
2016-09;"Nucléaire";26,478460131;Données Consolidées
2016-10;"Nucléaire";29,019544167;Données Consolidées
2016-11;"Nucléaire";31,148968325;Données Consolidées
